Mixture	CD14	CD19	CD4	CD56	CD8	Eos	Neu	P-value	Correlation	RMSE
Neu_2.txt.bg	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.09531799040473540	0.90468200959526468	9999.00000000000000000	0.99241008187626745	0.13172838906551784
CD8_2.txt.bg	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07492139442842126	0.91979874430602537	0.00000000000000000	0.00527986126555314	9999.00000000000000000	0.99526868078734454	0.11139579761868276
CD56_6.txt.bg	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.95263499843800170	0.00000000000000000	0.00000000000000000	0.04736500156199833	9999.00000000000000000	0.96859430318471695	0.28232504939126324
CD8_6.txt.bg	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.20276397368987936	0.78705965976390613	0.00191039412075317	0.00826597242546113	9999.00000000000000000	0.99241013381196319	0.14683133520376077
CD14-PBMC-1382.bg	0.92919602421707115	0.00256888327106083	0.00000000000000000	0.00000000000000000	0.01108713401002897	0.05714795850183912	0.00000000000000000	9999.00000000000000000	0.86871028641303849	0.50241004497686781
CD56_3.txt.bg	0.02925048046382967	0.00000000000000000	0.00338384705339645	0.91794788973511798	0.04263936161284679	0.00677842113480911	0.00000000000000000	9999.00000000000000000	0.99090958704775800	0.20167049560252603
CD4_1.txt.bg	0.11185303255889284	0.00000000000000000	0.85507684412196083	0.03307012331914644	0.00000000000000000	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.98759901909218561	0.19453358421593697
renWB_5.txt.bg	0.04763751339815148	0.02435466536863267	0.08931196052400601	0.00000000000000000	0.04769923648456360	0.00000000000000000	0.79099662422464634	9999.00000000000000000	0.91523788652272930	0.43898828776320165
Neu_3.txt.bg	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00274801440252836	0.00000000000000000	0.99725198559747175	9999.00000000000000000	0.99571724784271387	0.10029957242266405
Cd4_3.txt.bg	0.00649342050821168	0.00000000000000000	0.97685519812473909	0.01497799785359091	0.00000000000000000	0.00167338351345808	0.00000000000000000	9999.00000000000000000	0.99391863873989694	0.11082856821993260
renPBMC_1.txt.bg	0.17043953656732674	0.05647101140477127	0.23508643989118150	0.24289764555954435	0.16764921454098128	0.00000000000000000	0.12745615203619476	9999.00000000000000000	0.92814525147834148	0.57817110263154392
