Mixture	NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB	CD8TIL
tot-66-cfDNA	2.1082455240266866	2.172000137377506	2.2733038647735917	2.4584978656385275	0	6.8759986159575455	5.2730795795402665	4.751374912389114	2.7226093970877008	5.070174820866368	4.170407552085447	12.393758362554372	3.6051285935585287	3.837958620926406	6.535392352739961	3.560170691083696	4.040502483224538	2.7845551133848194	10.4915542612563	3.417120467091811	7.094031816072116	1.6418108157393534	2.7223241526253457
tot-67-cfDNA	2.414143413683582	1.9606460982471046	2.08286614906726	2.487802886172483	0	5.9700082475595755	4.164700032514519	4.493040912186956	2.4756681418206012	5.0357010033558325	4.089393866420972	8.35727854820677	3.960848271836135	4.108251239603287	6.449968147235875	3.8997742350420834	4.873673118919479	2.920397969403631	14.036710027559984	3.6706628379642856	9.352798430605475	1.550414883272772	1.6452515393213347
tot-72-cfDNA	2.411122535953316	2.657218004971448	2.3663798838756267	2.6023791041786675	0	5.401269257150673	5.371637487015398	4.8831589974746805	3.2782168534037077	5.046326721330836	3.3619746209925103	12.600423412751416	3.260194599720254	3.467798925810118	5.605437564368245	3.190419300801528	3.4734565465904934	2.7167114709704583	11.540066691375658	3.556028641839213	8.420579531634937	1.7305479179673757	3.058651929823445
tot-PH1-cfDNA	2.5392916502273795	2.5906069804399	2.708448258066514	2.9772812723304423	0	4.9361453356911245	5.572854471692694	5.099949624164184	3.6014308798452883	5.187406128456147	4.067587418207175	11.925490941166366	2.7801196305552147	2.6887664828694517	4.29371573318277	2.98342364810965	2.881329829328536	2.5371224447158336	13.065030684112363	3.1037447499994557	9.925497763719768	1.735556442834834	2.799199630284909
tot-PH16-cfDNA	2.460578179541177	2.5622840682176404	2.5108370955627213	3.211934959058825	0	4.164847310705767	4.690134830440306	5.06543647635494	3.3625768262546964	5.180139353279481	3.5074547408460783	7.590050435429088	3.2083061489785916	3.080211200049431	4.3328594712478345	2.9710929934120607	3.0072930243367626	2.798354693312695	15.661737405741686	3.195261591342936	12.474851397856646	1.6038606634467965	3.3598971345838424
tot-PH17-cfDNA	2.369019628896053	2.4266152292406913	2.5553927891711274	2.8927100584939858	0	6.071722381503402	5.505553051998226	5.272631655933789	3.752650996440875	4.970727200596499	3.8495841601242766	10.609518835483454	3.032264475022521	3.0647802171951715	5.84870470309662	3.0799761386648767	3.244266700619567	2.8867246614490796	11.149874935997726	2.9743491266828173	8.83789433995936	1.8558502147017257	3.7491884987281487
tot-PH4-cfDNA	2.666713557299308	2.6084589240598226	2.632786064875904	3.017606831638965	0	6.264947244769285	6.089188565738094	5.561792848177787	4.050888118763623	5.2280169375231935	4.226959377054362	11.624930226230976	2.922844366638308	3.110574982205959	4.226690741701449	2.8320097630888212	3.114736200544406	2.7538222632192877	10.739641873985368	3.0736507540217968	8.444101251729268	1.855541047238174	2.954098059495839
tot-PH7-cfDNA	2.408308091434853	2.41912392261291	2.298272396049817	2.5784763974959883	0	6.702190493774013	5.584121949570407	5.385130098231595	3.3879422609578573	5.175874600187556	4.093672627832596	9.91437899069165	3.625189805371829	3.9257758709786934	5.403868719808247	3.3785062237469736	4.074145372524537	2.802254096808885	11.472052745249378	3.6118099371247894	7.893877983581714	1.7380557279521396	2.1269716880135814
tot-YUCLUE_20-3998-cfDNA	2.474020126829638	2.559922827952062	2.3133160236727868	2.8205956093890743	0	5.466596843253129	5.469642917143985	5.073906956421568	3.6283827520937937	5.342979473924981	3.506403443170437	12.319413954680849	3.6054953234440377	3.689928402543107	4.5609662251231144	3.097196399817788	3.8786730315070135	3.2707008335372394	10.877528450339183	3.3244949452078556	8.154051360915531	1.9149388989728955	2.6508452000599156
tot-YUMARS_15-3443-cfDNA	2.4542732759718118	2.601947858195992	2.3297452492164283	3.2272620898768185	0	6.901080641378171	6.073470087628404	5.510303533331667	3.479864682621344	4.90314172308018	4.213341349610801	9.554791697824017	3.619979668088392	4.054035407117833	5.172684691013148	3.079718078126355	3.9826921735682337	3.2108162491831314	10.214121797531499	3.2852439840558656	7.687553876434951	1.8451175573730425	2.598814328771909
tot-YUMICRO_20-4006-cfDNA	3.22485271490815	3.5423687698402317	2.9995455566616847	2.5155122408879884	0	5.165412821321505	6.487130428195852	6.961719718125027	5.039688345326421	4.666433104556243	5.250862014543052	6.67990381084407	4.912158304984206	4.983598235232049	3.7707702711929096	3.5424995118092064	5.412278059931355	2.913073006735027	7.604306395591228	4.691459107742854	4.94672578056532	2.318136503439511	2.371565297566109
tot-YUMOTE_17-3755-cfDNA	2.6657377400596056	3.0030877716135507	2.662923084920178	2.3248649928930454	0	6.417025445327283	6.469926028873002	6.628403141469956	3.88474330040771	4.382936565957595	3.9805220033277267	8.515118799735571	4.313157677239454	4.338384986891158	4.16276994480017	3.3473290242162714	4.733425495606775	2.7298747969933923	9.37760554126956	4.07181303117672	7.154419675386284	2.200292780282478	2.6356381715525132
tot-YUPRAF_19-3925-cfDNA	2.630803480307623	2.7715774261044404	2.3775474801843095	2.7643805551451535	0	6.914553545742932	5.593362333946499	5.509401683837115	3.6333665602960705	4.662490742849351	4.070493659413014	10.061612757109552	4.396257793691464	4.468527434152074	6.14067288810796	3.3919998901208945	4.576860902124966	3.6397430285370196	7.455306321546273	4.247555680906503	5.587384301797851	1.8223445534007434	3.28375698067819
tot-YUREIL_17-3713-cfDNA	2.444875187291713	2.2135972992700323	2.140509269990605	2.6358611132557646	0	6.489756361551806	5.890169319522053	5.261670984358497	3.443512479573893	4.906446310115783	3.895823139149759	16.808344234133724	2.895900683382561	3.1859634324921613	4.449160519365302	2.6532077330286006	3.440048871041886	2.6012283436276578	8.908828903021744	3.4236903241176946	6.9073871386390815	1.7090033248748262	3.6950150281948613
tot-YUSTRAW_20-4002-cfDNA	2.4402969549364393	2.9487176308395666	2.073943551698731	3.855010633849258	0	6.684824508658512	5.782030150888727	5.029505353744356	3.574990996080944	5.358493641512321	4.242222896399938	15.234634785131988	3.0214213271793544	3.6509926148377683	5.411698250758575	2.6268345631911427	3.653145246503784	3.767896253953128	7.15087714749316	3.222732907768585	4.692482322179107	1.6690881913659985	3.9081600710286155
tot-YUTAUR_19-3926-cfDNA	2.7413874931486335	2.876091115072419	2.7548931142047306	2.523454974426094	0	5.393041672138603	5.483769393629336	4.698587412958269	3.451959089657834	5.276264317290606	4.412194737905666	13.773293661963848	4.4173889538498035	4.056757470841517	3.7698304597185026	3.1807657103563862	4.452134317737966	2.8862062215724484	9.137354916206384	3.6681476440548555	6.065431081669395	2.232770023229861	2.7482762183668332
tot-YUTHEA_20-4000-cfDNA	2.4966268392871567	2.493012177907043	2.6413242662109706	2.5749219238653698	0	5.348956597040979	5.292723633148845	5.217813954938542	3.5337097360040883	4.757381336762258	3.8384724650036173	10.001688852017342	4.154714960428777	3.8093959619253286	4.5726036251185365	2.9425477133510625	4.4159772953415	2.783296861138437	11.367034309315255	3.4010939093856676	9.104879732228225	2.1863182841473967	3.065505565433612
tot-YUVIRTUE_20-4029-cfDNA	2.4868174316856675	2.5993907301449215	2.2508711000275494	2.897955530837987	0	5.951008685300583	5.436018825908899	5.424647813139051	3.564534191425555	4.858175463819873	3.776263169214579	7.434864087958484	3.7191889439837325	3.7567676494660605	4.89809106867481	3.2992315616948473	3.8497343529809402	2.896603454742707	12.703716758203726	3.7922097640380543	9.380042739687102	1.7438275008511295	3.2800391762137338
y4-YUEVRY_19_3935-cfDNA	2.001906616273179	2.5656575191914768	2.543542616988468	3.1096189670692107	0	7.557311778859921	7.494604816388339	5.972638241205859	4.105355394867698	6.147477206894544	4.934399628384243	9.748754261758458	2.8617115525944454	2.710768364552766	4.478565974630162	2.7749423657068455	2.67498160361345	2.8120612664804807	9.832124841283099	3.0607704366199253	7.067496023387785	2.019060360260669	3.526250162988992
y4-YUMORF_17_3654-cfDNA	2.795923828663666	2.8961149694940262	2.184798780302173	2.5725281137277904	0	5.0192305546856675	5.707361554060843	6.134144191199354	3.3380447922005314	4.119394951038534	4.58909990794037	8.214657547021769	5.242929350580422	5.033330657959568	4.619849613670894	4.401359207677466	7.089892009664131	2.7931068686416505	7.842586083911001	6.034323982475129	5.446647354518993	2.187080084829411	1.737595595736605
y4-YUPARK_18_3832-cfDNA	2.2218811891124672	2.801856307357351	2.506123939993166	2.69381001345547	0	6.592212483023974	6.445072516396985	5.234778038414912	3.2633611149272954	5.454025979701901	4.608968571043916	16.342481272353382	3.1163253293500306	2.9866247366249032	4.03363710386339	2.4511261154822828	3.3163560054041397	2.890045650064392	8.985275141659548	2.81568300567805	6.9396615130144	1.8916479327467226	2.4090460403313307
y4-YUPARK_18_3856-cfDNA	2.4225476261583054	2.4153788616345944	2.317190048672799	2.3926023649805432	0	7.150780060330419	6.193505859898895	5.323009047468117	3.342470313335695	5.29739357772943	4.360985790735817	12.538594975170714	3.513892521199559	3.6579985332912575	5.357091545863765	3.3525209392353235	4.028572755056723	2.6396532510035673	8.940674252615569	3.424170959603143	6.611192201251873	1.662834101339501	3.056940413424384
